country,year,sex,measure,category,method,unit,value
Denmark,2022,Total,Life expectancy,Total,,Years,81.3
Denmark,2021,Total,Life expectancy,Total,,Years,81.4
Denmark,2020,Total,Life expectancy,Total,,Years,81.5
Denmark,2019,Total,Life expectancy,Total,,Years,81.4
Denmark,2018,Total,Life expectancy,Total,,Years,81
Denmark,2017,Total,Life expectancy,Total,,Years,81.1
Denmark,2016,Total,Life expectancy,Total,,Years,80.9
Denmark,2015,Total,Life expectancy,Total,,Years,80.7
Estonia,2023,Male,Life expectancy,Total,,Years,74.5
Estonia,2022,Male,Life expectancy,Total,,Years,73.6
Estonia,2019,Female,Life expectancy,Total,,Years,82.8
Estonia,2018,Female,Life expectancy,Total,,Years,82.4
Estonia,2017,Female,Life expectancy,Total,,Years,82.3
Estonia,2016,Female,Life expectancy,Total,,Years,81.9
Estonia,2015,Female,Life expectancy,Total,,Years,81.8
Estonia,2021,Male,Life expectancy,Total,,Years,72.7
Estonia,2020,Male,Life expectancy,Total,,Years,74.4
Estonia,2019,Male,Life expectancy,Total,,Years,74.4
Estonia,2018,Male,Life expectancy,Total,,Years,73.9
Estonia,2017,Male,Life expectancy,Total,,Years,73.7
Estonia,2016,Male,Life expectancy,Total,,Years,73.2
Estonia,2015,Male,Life expectancy,Total,,Years,73.1
Estonia,2024,Female,Life expectancy,Total,,Years,83.4
Estonia,2023,Female,Life expectancy,Total,,Years,83
Estonia,2022,Female,Life expectancy,Total,,Years,82.2
Estonia,2021,Female,Life expectancy,Total,,Years,81.4
Estonia,2020,Female,Life expectancy,Total,,Years,82.8
Estonia,2024,Total,Life expectancy,Total,,Years,79.4
Estonia,2023,Total,Life expectancy,Total,,Years,78.9
Estonia,2022,Total,Life expectancy,Total,,Years,78.1
Estonia,2021,Total,Life expectancy,Total,,Years,77.2
Estonia,2020,Total,Life expectancy,Total,,Years,78.8
Estonia,2019,Total,Life expectancy,Total,,Years,78.8
Estonia,2018,Total,Life expectancy,Total,,Years,78.4
Estonia,2017,Total,Life expectancy,Total,,Years,78.2
Estonia,2016,Total,Life expectancy,Total,,Years,77.8
Estonia,2015,Total,Life expectancy,Total,,Years,77.7
Finland,2023,Male,Life expectancy,Total,,Years,79
Finland,2022,Male,Life expectancy,Total,,Years,78.6
Finland,2019,Female,Life expectancy,Total,,Years,84.6
Finland,2018,Female,Life expectancy,Total,,Years,84.3
Finland,2017,Female,Life expectancy,Total,,Years,84.2
Finland,2016,Female,Life expectancy,Total,,Years,84.1
Finland,2015,Female,Life expectancy,Total,,Years,84.1
Finland,2021,Male,Life expectancy,Total,,Years,79.1
Finland,2020,Male,Life expectancy,Total,,Years,79
Finland,2019,Male,Life expectancy,Total,,Years,79.2
Finland,2018,Male,Life expectancy,Total,,Years,78.9
Finland,2017,Male,Life expectancy,Total,,Years,78.7
Finland,2016,Male,Life expectancy,Total,,Years,78.4
Finland,2015,Male,Life expectancy,Total,,Years,78.5
Finland,2024,Female,Life expectancy,Total,,Years,84.8
Finland,2023,Female,Life expectancy,Total,,Years,84.2
Finland,2022,Female,Life expectancy,Total,,Years,83.8
Finland,2021,Female,Life expectancy,Total,,Years,84.5
Finland,2020,Female,Life expectancy,Total,,Years,84.6
Finland,2024,Total,Life expectancy,Total,,Years,82.2
Finland,2023,Total,Life expectancy,Total,,Years,81.6
Finland,2022,Total,Life expectancy,Total,,Years,81.2
Finland,2021,Total,Life expectancy,Total,,Years,81.8
Finland,2020,Total,Life expectancy,Total,,Years,81.8
Finland,2019,Total,Life expectancy,Total,,Years,81.9
Finland,2018,Total,Life expectancy,Total,,Years,81.6
Finland,2017,Total,Life expectancy,Total,,Years,81.5
Finland,2016,Total,Life expectancy,Total,,Years,81.3
Finland,2015,Total,Life expectancy,Total,,Years,81.4
France,2023,Male,Life expectancy,Total,,Years,80
France,2022,Male,Life expectancy,Total,,Years,79.3
France,2019,Female,Life expectancy,Total,,Years,85.6
France,2018,Female,Life expectancy,Total,,Years,85.5
France,2017,Female,Life expectancy,Total,,Years,85.3
France,2016,Female,Life expectancy,Total,,Years,85.3
France,2015,Female,Life expectancy,Total,,Years,85.1
France,2021,Male,Life expectancy,Total,,Years,79.2
France,2020,Male,Life expectancy,Total,,Years,79.1
France,2019,Male,Life expectancy,Total,,Years,79.7
France,2018,Male,Life expectancy,Total,,Years,79.5
France,2017,Male,Life expectancy,Total,,Years,79.4
France,2016,Male,Life expectancy,Total,,Years,79.3
France,2015,Male,Life expectancy,Total,,Years,79
France,2024,Female,Life expectancy,Total,,Years,85.8
France,2023,Female,Life expectancy,Total,,Years,85.7
France,2022,Female,Life expectancy,Total,,Years,85.1
France,2021,Female,Life expectancy,Total,,Years,85.2
France,2020,Female,Life expectancy,Total,,Years,85.1
France,2024,Total,Life expectancy,Total,,Years,83
France,2023,Total,Life expectancy,Total,,Years,82.9
France,2022,Total,Life expectancy,Total,,Years,82.2
France,2021,Total,Life expectancy,Total,,Years,82.2
France,2020,Total,Life expectancy,Total,,Years,82.2
France,2019,Total,Life expectancy,Total,,Years,82.7
France,2018,Total,Life expectancy,Total,,Years,82.6
France,2017,Total,Life expectancy,Total,,Years,82.4
France,2016,Total,Life expectancy,Total,,Years,82.4
France,2015,Total,Life expectancy,Total,,Years,82.1
Germany,2023,Male,Life expectancy,Total,,Years,78.5
Germany,2022,Male,Life expectancy,Total,,Years,78.1
Germany,2019,Female,Life expectancy,Total,,Years,83.6
Germany,2018,Female,Life expectancy,Total,,Years,83.2
Germany,2017,Female,Life expectancy,Total,,Years,83.3
Germany,2016,Female,Life expectancy,Total,,Years,83.3
Germany,2015,Female,Life expectancy,Total,,Years,83
Germany,2021,Male,Life expectancy,Total,,Years,78.2
Germany,2020,Male,Life expectancy,Total,,Years,78.6
Germany,2019,Male,Life expectancy,Total,,Years,78.8
Germany,2018,Male,Life expectancy,Total,,Years,78.5
