country,year,sex,measure,category,method,unit,value
Netherlands,2023,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Netherlands,2024,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Portugal,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Portugal,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Slovak Republic,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Slovak Republic,2017,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Slovak Republic,2018,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Slovak Republic,2022,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Slovak Republic,2023,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Slovenia,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Slovenia,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Spain,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Spain,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Spain,2017,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Spain,2021,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Spain,2024,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Sweden,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Sweden,2017,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Sweden,2018,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Sweden,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Sweden,2021,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Sweden,2022,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Sweden,2023,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Sweden,2024,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Switzerland,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Switzerland,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Switzerland,2017,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Switzerland,2018,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Switzerland,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Switzerland,2021,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
United Kingdom,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
United Kingdom,2017,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
United Kingdom,2018,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
United Kingdom,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
United Kingdom,2020,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
United Kingdom,2022,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
